Nom de l'offre touristique;Type de l'offre;Adresse partie 2;Code postal;Nom de la commune;Code Insee de la Commune;Latitude;Longitude;localisation;email;N° de téléphone mobile;Url du site web;information 1;information 2
AIRE CAMPING-CAR MOUZILLON;Aire de service;Parking du Complexe sportif de la Prée;44330;MOUZILLON;44108;47.1378087;-1.2848393;47.1378087, -1.2848393;;02 40 33 93 26;http://www.mairie-mouzillon.fr/;stationnement payant  ;  Cartes bancaires
AIRE DE SERVICE;Aire de service;Quai de Cricklade;44240;SUCE-SUR-ERDRE;44201;47.33944;-1.52554;47.33944, -1.52554;;;;stationnement payant Eau,Vidange,WiFi Animaux admis;ouvert 24h/24h ouvert toute l'année 
AIRE DE SERVICE CAMPING-CAR, DOMAINE DES CROIX,  MAISDON SUR SEVRE;Aire de service;23 les Croix;44690;MAISDON-SUR-SEVRE;44088;47.10714;-1.38778;47.10714, -1.38778;;02 40 06 65 07;http://www.domainedescroix.fr;stationnement payant Déchets,Douches,Eau,Electricité,Toilettes,Vidange,Vidange eaux grises,Vidange eaux noires Animaux admis;"ouvert 24h/24h ouvert toute l'année Cartes bancaires ; Chèques bancaires et postaux ; Espèces"
AIRE DE SERVICE PRÈS DU CAMPING PORT MULON;Aire de service;Rue des Mares Noires;44390;NORT-SUR-ERDRE;44110;47.428812;-1.4971944;47.428812, -1.4971944;;02 40 72 23 57;https://www.camping-leportmulon.fr/fr/;stationnement payant Eau,Vidange ;non non Espèces
STOP ACCUEIL CAMPING CARS OUDON;Aire de service;;44521;OUDON;44115;47.3438271;-1.2912387;47.3438271, -1.2912387;;02 40 83 80 22;;stationnement payant Aire de pique-nique,Déchets,Douches,Eau,Electricité,Toilettes,Vidange,WiFi Animaux admis;"non non Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances"
Aire de camping cars de la Marche aux Boeufs;Aire de stationnement;Chemin de la Marche aux Boeufs;44410;ASSERAC;44006;47.43128;-2.452;47.43128, -2.452;;02 40 01 70 00;http://www.asserac.fr/module-Contenus-viewpub-tid-2-pid-7.html;stationnement gratuit  ;  
AIRE DE SERVICES LA BENATE - RIAILLE;Aire de service;La Benâte;44440;RIAILLE;44144;47.513741;-1.286869;47.513741, -1.286869;;02 40 97 80 25;http://www.riaille.fr;stationnement gratuit Eau,Vidange ; ouvert toute l'année 
Aire de camping cars de Pont-Mahé;Aire de stationnement;Route de Pont-Mahé (D82);44410;ASSERAC;44006;47.44753;-2.45074;47.44753, -2.45074;;02 40 01 70 00;http://www.asserac.fr/module-Contenus-viewpub-tid-2-pid-7.html;stationnement gratuit  ;  
AIRE DE STATIONNEMENT;Aire de stationnement;La Madeleine;44130;FAY-DE-BRETAGNE;44056;47.4142222;-1.785989;47.4142222, -1.785989;;;;stationnement gratuit Aire de pique-nique,Déchets,Eau,Toilettes,Vidange Animaux admis;ouvert 24h/24h ouvert toute l'année 
AIRE D'ACCUEIL CAMPING-CAR DE LA GUICHARDIÈRE;Aire de stationnement;2 rue de Mouton;44770;LA PLAINE-SUR-MER;44126;47.15248;-2.20806;47.15248, -2.20806;;02 40 21 55 09;http://www.camping-laguichardiere.net; Eau,Vidange Animaux admis;  
LE PAS DU GÛ;Aire de stationnement;28 Le Pas du Gû;44250;SAINT-BREVIN-LES-PINS;44154;47.21981;-2.15385;47.21981, -2.15385;;02 40 27 07 22;https://www.campingpasdugu.net/;  Animaux admis;"  Chèques bancaires et postaux ; Chèques Vacances"
Aire de camping-cars Le  Véridet;Aire de service;410 Avenue Louis Clément;44420;PIRIAC-SUR-MER;44125;47.37068;-2.55133;47.37068, -2.55133;;06 62 32 98 19;https://reseauaireservices.com/aire/piriac-sur-mer-aire-pour-camping-cars/; Déchets,Eau,Electricité,Vidange eaux grises,Vidange eaux noires,WiFi Animaux admis;  Cartes bancaires
Aire camping cars park Alphonse Daudet;Aire de stationnement;8 - 16 Rue Alphonse Daudet;44420;LA TURBALLE;44211;47.3491;-2.50867;47.3491, -2.50867;;01 83 64 69 21;https://www.campingcarpark.com/fr_FR/sejour/aire-etape-camping-car/pays-de-la-loire/44-loire-atlantique/turballe-centre-ville; Déchets,Eau,Vidange,Vidange eaux grises,Vidange eaux noires,WiFi Animaux admis;  Cartes bancaires
LES ROCHELETS;Aire de stationnement;Chemin des Grandes Rivières;44250;SAINT-BREVIN-LES-PINS;44154;47.21432;-2.1539;47.21432, -2.1539;;02 40 27 40 25;http://www.rochelets.com/;  Animaux admis;"  Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances"
Eden Villages La Pointe Saint-Gildas;Aire de stationnement;Chemin du Port aux ânes;44770;PREFAILLES;44136;47.13792;-2.22222;47.13792, -2.22222;;02 40 21 52 05;https://www.eden-villages.fr/campings/la-pointe-saint-gildas/; Déchets,Eau,Electricité,Toilettes,Vidange Animaux admis;"  Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances ; Espèces"
Aire de stationnement et de services pour camping-cars de Messan;Aire de stationnement;Messan;44640;ROUANS;44145;47.19229;-1.853;47.19229, -1.853;;01 83 64 69 21;https://www.campingcarpark.com/fr_FR/sejour/camping/pays-de-la-loire/44-loire-atlantique/rouans; Déchets,Eau,Electricité,Toilettes,Vidange ;  Cartes bancaires
Aire de service et de stationnement du centre-ville;Aire de service;Place de l'église;44410;SAINT-LYPHARD;44175;47.39768;-2.30123;47.39768, -2.30123;;02 40 91 41 34;http://www.saint-lyphard.com; Eau,Vidange,Vidange eaux grises,Vidange eaux noires ;  
Aire de camping cars de la Tranchée;Aire de service;Rue de la tranchée;44420;PIRIAC-SUR-MER;44125;47.38116;-2.5426;47.38116, -2.5426;;01 83 64 69 21;https://www.campingcarpark.com/fr_FR/sejour/aire-etape-camping-car/pays-de-la-loire/44-loire-atlantique/piriac-la-tranchee; Déchets,Electricité,Vidange,Vidange eaux grises,Vidange eaux noires,WiFi ;  Cartes bancaires
Aire de camping cars de Guenrouet;Aire de stationnement;Rue des hauts du port;44530;GUENROUET;44068;47.52195;-1.94953;47.52195, -1.94953;;02 40 87 64 18;; Eau,Electricité,Vidange,Vidange eaux grises,Vidange eaux noires ;  
AIRE DE RAVITAILLEMENT;Aire de stationnement;Rue Eloi Guitteny;44680;ROUANS;44145;47.10401;-1.86686;47.10401, -1.86686;;02 40 31 70 40;; Eau,Toilettes,Vidange ;  
LA CALE SAUVAGE;Aire de stationnement;Square de la Chaussée;44320;FROSSAY;44061;47.25741;-1.91339;47.25741, -1.91339;;09 52 38 35 58;https://www.la-cale-sauvage.com/;  Animaux admis;"  Cartes bancaires ; Chèques Vacances"
AIRE DE CAMPING CAR LA SEBILIÈRE;Aire de stationnement;;44522;MESANGER;44096;47.44044;-1.22502;47.44044, -1.22502;;02 40 96 75 22;;  ;  
CAMPING PORT MULON;Emplacement équipé au sein du camping;Rue des Mares Noires;44390;NORT-SUR-ERDRE;44110;47.428812;-1.4971944;47.428812, -1.4971944;;02 40 72 23 57;https://www.camping-leportmulon.fr/fr/;stationnement payant Déchets,Douches,Eau,Electricité,Toilettes,Vidange,Vidange eaux grises,Vidange eaux noires,WiFi Animaux admis;"non non Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances ; Espèces ; Virement"
AIRE DE STATIONNEMENT ET DE SERVICE PARKING DU THEATRE;Aire de stationnement;Boulevard Paul Leferme;44600;SAINT-NAZAIRE;44184;47.279372;-2.204306;47.279372, -2.204306;;02 40 00 40 62;;stationnement payant Eau,Electricité,Vidange ;ouvert 24h/24h ouvert toute l'année Cartes bancaires
AIRE DU PLAN D'EAU - FREIGNE;Aire de service;;49440;VALLONS-DE-L'ERDRE;44180;47.5504248;-1.1257721;47.5504248, -1.1257721;;02 85 29 33 00;https://www.vallonsdelerdre.fr/plans-deau/;stationnement gratuit Aire de pique-nique,Déchets,Toilettes Animaux admis;ouvert 24h/24h ouvert toute l'année 
AIRE D'ACCUEIL DE CAMPING-CAR DU DOMAINE FORGEAU;Aire de stationnement;222 rue des caves;44330;MOUZILLON;44108;47.1616553;-1.2709467;47.1616553, -1.2709467;;240339537;https://www.muscadet-forgeau.com/;stationnement gratuit  ;  
AIRE DE VIDANGE ET STATIONNEMENT O'PRÉ D'VOUS LA MARNE;Aire de stationnement;24 Rue des Fossés;44270;LA MARNE;44090;46.99768;-1.73651;46.99768, -1.73651;;02 40 32 54 31;https://la-marne.fr/;stationnement gratuit Eau,Vidange ;ouvert 24h/24h ouvert toute l'année 
AIRE DE STATIONNEMENT DU COMPLEXE SPORTIF;Aire de stationnement;LA GRANDE NOE - PARKING DU STADE;44118;LA CHEVROLIERE;44041;47.0934591;-1.6204275;47.0934591, -1.6204275;;02 40 13 30 00;http://www.mairie-lachevrolière.com;stationnement gratuit  Animaux admis;ouvert 24h/24h ouvert toute l'année 
Aire de camping cars de la Mairie;Aire de stationnement;Rue de la Maradoux;44410;ASSERAC;44006;47.42711;-2.3914;47.42711, -2.3914;;02 40 01 70 00;http://www.asserac.fr/module-Contenus-viewpub-tid-2-pid-7.html;stationnement gratuit  ;  
AIRE DU MARAIS;Aire de stationnement;2 Lieu-dit Le Bas Fief;44310;SAINT-LUMINE-DE-COUTAIS;44174;47.0605023;-1.7168726;47.0605023, -1.7168726;;02 40 02 90 25;;stationnement gratuit Aire de pique-nique,Eau,Toilettes Animaux admis;ouvert 24h/24h ouvert toute l'année 
AIRE DE SERVICE DES JAUNAIS;Aire de service;Route de l'Océan;44600;SAINT-NAZAIRE;44184;47.2369501;-2.3003406;47.2369501, -2.3003406;;02 40 00 40 62;;stationnement gratuit Eau,Electricité,Vidange Animaux admis;ouvert 24h/24h ouvert toute l'année Cartes bancaires
AIRE PRIVEE DU DOMAINE DU GRAND POIRIER;Aire de stationnement;Le Grand Poirier;44310;LA LIMOUZINIERE;44083;46.982066;-1.613353;46.982066, -1.613353;;02 40 05 94 47;http://christian-jaulin.com;stationnement gratuit  Animaux admis;ouvert 24h/24h ouvert toute l'année 
CLOS MER ET NATURE;Aire de stationnement;103 rue de Tharon;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.17293;-2.15833;47.17293, -2.15833;;02 40 27 85 71;http://www.camping-clos-mer-nature.fr; Eau Animaux admis;"  Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances ; Espèces"
LA FERME DES COCHONS D'ANTAN;Aire de stationnement;16 Lieu-dit La Bézellière;44650;LEGE;44081;46.88129;-1.51453;46.88129, -1.51453;;;https://lafermedescochonsdantan.fr/;  ; ouvert toute l'année 
Les Vallons de l'Océan;Aire de stationnement;2 route de la Tabardière;44770;LA PLAINE-SUR-MER;44126;47.14087;-2.1528;47.14087, -2.1528;;02 40 21 58 83;http://www.camping-lesvallonsdelocean.com/; Eau,Electricité,Vidange Animaux admis;"  Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances ; Espèces"
Le Thar Cor;Aire de stationnement;43 avenue du Cormier;44730;SAINT-MICHEL-CHEF-CHEF;44182;47.15995;-2.16814;47.15995, -2.16814;;02 40 27 82 81;http://www.camping-le-thar-cor.com; Déchets,Eau,Electricité,Vidange Animaux admis;"  Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances ; Espèces"
Camping - La Ferme d'Isson;Aire de stationnement;Isson;44410;ASSERAC;44006;47.42629;-2.41837;47.42629, -2.41837;;02 40 01 74 63;http://www.camping-lafermedisson.com/; Déchets,Electricité,Toilettes Animaux admis;"  Chèques bancaires et postaux ; Espèces ; Virement"
AIRE DE STATIONNEMENT;Aire de stationnement;Quai Saint Georges;44390;NORT-SUR-ERDRE;44110;47.4387944;-1.4939327;47.4387944, -1.4939327;;;;  ; ouvert toute l'année 
LE GRAND FAY;Aire de stationnement;Rue du Grand Fay;44320;SAINT-PERE-EN-RETZ;44187;47.20328;-2.03686;47.20328, -2.03686;;02 40 21 72 89;https://grandfay.fr; Eau Animaux admis;"  Cartes bancaires ; Chèques bancaires et postaux ; Chèques Vacances"
Aire de service et stationnement de Chaumes-en-Retz;Aire de stationnement;Super U;44320;CHAUMES-EN-RETZ;44005;47.11501;-1.95024;47.11501, -1.95024;;02 40 21 30 13;; Eau,Electricité,Toilettes,Vidange ; ouvert toute l'année 
AIRE DE STATIONNEMENT ET DE SERVICES;Aire de stationnement;Chemin des Rigondais;44130;BLAIN;44015;47.4722902;-1.7602106;47.4722902, -1.7602106;;02 40 79 00 08;;stationnement payant Déchets,Eau,Vidange,WiFi ;  
AIRE DE SERVICE HYPER U LA COLLERAYE;Aire de service;La Colleraye;44260;SAVENAY;44195;47.358852;-1.944482;47.358852, -1.944482;;;;stationnement payant  ;ouvert 24h/24h ouvert toute l'année 
AIRE DE STATIONNEMENT ET DE SERVICES;Aire de stationnement;Route de Rennes;44170;NOZAY;44113;47.5746049;-1.6257856;47.5746049, -1.6257856;;;©Mairie-Nozay;stationnement payant Déchets,Eau,Electricité,Vidange eaux grises,Vidange eaux noires,WiFi ;ouvert 24h/24h ouvert toute l'année Cartes bancaires
AIRE DE STATIONNEMENT;Aire de stationnement;Rue Auguste Pasgrimaud;44170;LA GRIGONNAIS;44224;47.5232534;-1.6650315;47.5232534, -1.6650315;;02 40 51 36 61;https://www.lagrigonnais.fr/;stationnement gratuit Aire de pique-nique ;ouvert 24h/24h ouvert toute l'année 
AIRE DE STATIONNEMENT;Aire de stationnement;Le Port cormier;44390;NORT-SUR-ERDRE;44110;47.435289;-1.491937;47.435289, -1.491937;;;;stationnement gratuit  ; ouvert toute l'année 
AIRE DE STATIONNEMENT DE FÉDRUN;Aire de stationnement;Rue des Martins;44720;SAINT-JOACHIM;44168;47.3748568;-2.2097715;47.3748568, -2.2097715;;02 40 88 42 31;;stationnement gratuit Aire de pique-nique ;ouvert 24h/24h ouvert toute l'année 
AIRE DE SERVICES PARKING DE LA MOTTE - LE CELLIER;Aire de service;Parking de la Motte;44850;LE CELLIER;44028;47.317739;-1.346876;47.317739, -1.346876;;02 40 25 40 18;;stationnement gratuit Aire de pique-nique,Eau,Vidange ;ouvert 24h/24h ouvert toute l'année 
AIRE DE SERVICES SQUARE DE LA COMMUNE LIBRE DU BOUFFAY-  SAINT MARS LA JAILLE;Aire de service;10 Rue Neuve;44540;VALLONS-DE-L'ERDRE;44180;47.5234115;-1.1833822;47.5234115, -1.1833822;;02 85 29 33 00;https://www.vallonsdelerdre.fr/plans-deau/;stationnement gratuit Aire de pique-nique,Douches,Eau,Toilettes,Vidange Animaux admis;ouvert 24h/24h ouvert toute l'année 
MANOIR SAINTE MARIE;Gîte de groupe;;44750;CAMPBON;44025;47.392548;-1.991278;47.392548, -1.991278;;;;  ;Salle de réception  
GÎTE DE GROUPE - MANOIR DE L'ESPÉRANCE;Gîte de groupe,Gîte d'étapes;L'Espérance;44560;CORSEPT;44046;47.27731;-2.07749;47.27731, -2.07749;;06 19 26 75 80;http://www.manoirdelesperance.fr/;  oui;Cuisine professionnelle,Salle de réception Accueil Vélo,Ambassadeur Val de Loire,Écolabel Européen,La Loire à vélo,La Vélodyssée,Qualité Tourisme,Rando Accueil 
LA ROUSSELIÈRE;Gîte de groupe;Route de Nantes;44320;FROSSAY;44061;47.23655;-1.94869;47.23655, -1.94869;;06 86 07 89 07;http://www.larousseliere.com;  ;  
LA JOLIE VILAINE, HALTE PÉLERINE;Gîte d'étapes;Rue du Port de Beslé;44290;GUEMENE-PENFAO;44067;47.70119;-1.86817;47.70119, -1.86817;;;;  non;  
Gîte du Menhir;Gîte d'étapes;12 route du Menhir;44160;PONTCHATEAU;44129;47.43681;-2.13925;47.43681, -2.13925;;;http://www.grandgitebretagnesud.fr; WiFi oui;Parking  
L'HERMITAGE;Gîte de groupe;46 avenue du Paradis;44290;GUEMENE-PENFAO;44067;47.625982;-1.8194118;47.625982, -1.8194118;;06 72 39 78 50;www.campinglhermitage.com; Local vélo,WiFi oui;Parking,Plain pied  Location de draps,Location/prêt de vélo,Option nettoyage / ménage
Le paradis des pêcheurs;Centre d'accueil et/ou de vacances;6 le Cougou;44530;GUENROUET;44068;47.54396;-2.00907;47.54396, -2.00907;;;http://www.lemoulinideal.fr;Non classé WiFi ;Parking  Location de draps,Location de linge
GÎTE LE CARPEDIEM;Gîte de groupe;;44170;NOZAY;44113;47.5662169;-1.6263366;47.5662169, -1.6263366;;06 63 13 88 86;http://gite-le-carpediem.fr/; Espace bien-être,WiFi ;Cuisine professionnelle,Parking,Salle de réception  
VILLAGE DE GITES DU MOULIN NEUF;Gîte de groupe;10 rue la Libauderie;44190;GETIGNE;44063;47.0796679;-1.2614738;47.0796679, -1.2614738;;06 78 70 33 58;https://www.gites-moulinneuf-44.fr;Non classé Local vélo,WiFi non;Cuisine professionnelle,Parking,Salle de réception Clef Verte,UNAT Fourniture de draps (gratuit),Option nettoyage / ménage
LE PARC DE LA SARDIERE;Centre d'accueil et/ou de vacances,Gîte de groupe;;44540;LE PIN;44124;47.5917126;-1.160165;47.5917126, -1.160165;;06 22 51 92 15;http://www.le-parc-de-la-sardiere.com;Non classé Piscine,Piscine couverte,WiFi non;Cuisine professionnelle,Parking,Plain pied,Salle de réception  Option nettoyage / ménage
Résidence Les Alizés;Centre d'accueil et/ou de vacances;10 avenue de Rhuys;44500;LA BAULE-ESCOUBLAC;44055;47.27606;-2.36171;47.27606, -2.36171;;;;3 étoiles WiFi ;  Fourniture de draps (gratuit),Fourniture de linge (gratuit)
Centre de stage Jean Maurel;Centre d'accueil et/ou de vacances;16 avenue des Ondines;44500;LA BAULE-ESCOUBLAC;44055;47.28532;-2.40289;47.28532, -2.40289;;;; WiFi non;  
Le Razay - Fol 74;Centre d'accueil et/ou de vacances;Route du Razay;44420;PIRIAC-SUR-MER;44125;47.36639;-2.52255;47.36639, -2.52255;;;http://www.fol74.org/ocean-piriac-sur-mer-le-razay;En cours de classement WiFi oui;Parking,Salle de réception Écolabel Européen Location/prêt de vélo
AUBERGE LES BAINS DOUCHES;Auberge de jeunesse;20 rue du Dupleix;44100;NANTES;44109;47.2038307;-1.5779509;47.2038307, -1.5779509;;;https://aubergelesbainsdouches.fr/; Local vélo,WiFi non;Salle de réception  Fourniture de draps (gratuit)
LA HALTE DE PAINFAUT;Gîte d'étapes;4, le pont de Painfaut;44460;AVESSAC;44007;47.6799691;-1.9777797;47.6799691, -1.9777797;;07 64 42 81 37;www.painfaut-avessac.fr; Local vélo oui;  
MAISON SAINT-DONATIEN;Centre d'accueil et/ou de vacances,Gîte de groupe,Gîte d'étapes;La Haye;44590;DERVAL;44051;47.6630858;-1.6647713;47.6630858, -1.6647713;;06 18 94 65 10;http://saintdonatienderval.mennaisien.org;  ;Cuisine professionnelle,Parking,Salle de réception  
GITE LE JEANNEAU;Gîte de groupe;;44540;SAINT SULPICE DES LANDES;44180;47.5511667;-1.2640929;47.5511667, -1.2640929;;06 20 65 71 02;;Non classé Espace bien-être,WiFi non;Parking,Terrain clos  Option nettoyage / ménage
HEBERGEMENT DE GROUPE - GÎTE LE PRESSOIR - CHAMBRES AVEC SANITAIRES PRIVES, SUITES, CABANE PERCHEE;Gîte de groupe;;44116;VIEILLEVIGNE;44216;46.9530964;-1.4252438;46.9530964, -1.4252438;;06 25 02 61 02;http://www.domainedelecorce.com;3 étoiles Local vélo,Piscine couverte,WiFi non;Parking,Plain pied,Terrain clos Rando Accueil,Vignobles et découvertes Location de draps,Fourniture de draps (gratuit),Location de linge,Fourniture de linge (gratuit),Option nettoyage / ménage,Nettoyage / ménage (gratuit),Prestation de restauration
GITE LA FILATURE D'ANGREVIERS;Gîte de groupe;Rive droite Angreviers;44190;GORGES;44064;47.115311;-1.31441;47.115311, -1.31441;;06 58 26 12 34;http://www.lemoulinideal.fr/;Non classé WiFi oui;Parking,Plain pied,Salle de réception,Terrain clos  Location de draps,Location de linge,Nettoyage / ménage (gratuit),Prestation de restauration
DOMAINE DE LA GENESTRIE;Centre d'accueil et/ou de vacances;La Genestrie;44130;LE GAVRE;44062;47.526386;-1.747174;47.526386, -1.747174;;06 76 42 60 44;;Non classé  ;Cuisine professionnelle,Parking,Salle de réception  
GITE D'ETAPE/GITE DE GROUPE LE PLESSIS PAS BRUNET;Gîte de groupe,Gîte d'étapes;609 Le Plessis Pas Brunet;44390;NORT-SUR-ERDRE;44110;47.424544;-1.527056;47.424544, -1.527056;;07 86 72 23 28;https://giteleplessispasbrunet44.fr/;2 étoiles Local vélo,WiFi oui;Garage,Parking,Plain pied,Terrain clos Accueil Vélo,La Vélodyssée,Rando Accueil Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration
GITE ET NATURE;Gîte de groupe;La Fontaine des Coteaux;44190;BOUSSAY;44022;47.042029;-1.191299;47.042029, -1.191299;;06 71 69 79 62;;3 étoiles Piscine,WiFi non;Cuisine professionnelle,Parking,Plain pied,Salle de réception Gîtes de France Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration
GITES LA GARLAIS - GRAND GITE;Gîte de groupe;7 lieu-dit La Garlais;44590;DERVAL;44051;47.662237;-1.6365498;47.662237, -1.6365498;;06 50 29 95 48;http://www.lagarlais.com; WiFi non; Bienvenue à la ferme,Gîtes de France 
GÎTE LA ROUSSELIÈRE;Gîte de groupe,Gîte d'étapes;La Rousselière;44110;CHATEAUBRIANT;44036;47.732301;-1.399386;47.732301, -1.399386;;06 07 85 95 83;www.gite-larousseliere.com; WiFi non;  
REFUGE DE LA COLLE;Gîte d'étapes;;44360;CORDEMAIS;44045;47.30088;-1.82074;47.30088, -1.82074;;06 07 97 69 48;;Non classé  ;  
GUERMITON;Gîte de groupe;Guermiton;44320;FROSSAY;44061;47.24156;-1.88687;47.24156, -1.88687;;06 62 58 94 85;http://www.gites-guermiton.fr;  non;Cuisine professionnelle,Parking  
LA DUCHERAIS  PEP 44;Centre d'accueil et/ou de vacances;;44750;CAMPBON;44025;47.4127385;-1.9688614;47.4127385, -1.9688614;;;http://pep-atlantique-anjou.fr/campbon-la-ducherais/;  ; UNAT 
LA CURE D'ABBARETZ;Gîte de groupe;2 rue Boulay Paty;44170;ABBARETZ;44001;47.5524355;-1.5319757;47.5524355, -1.5319757;;06 58 26 12 34;http://www.lemoulinideal.fr;Non classé WiFi oui;Cuisine professionnelle,Parking,Salle de réception,Terrain clos  Location de draps,Nettoyage / ménage (gratuit),Prestation de restauration
GITE LE BOUCHON ROUGE;Gîte de groupe;Les Basses Bouteilles;44140;LE BIGNON;44014;47.1204;-1.5102;47.1204, -1.5102;;;http://www.bouchonrouge-gites.fr/fr/logement;3 étoiles Garage,WiFi non;Garage,Parking,Plain pied,Terrain clos Gîtes de France Nettoyage / ménage (gratuit)
GÎTE ETAPE ÉCLUSE DE LA TINDIÈRE;Gîte d'étapes;5 Sobidain;44390;NORT-SUR-ERDRE;44110;47.4196661;-1.5359191;47.4196661, -1.5359191;;;;2 étoiles Garage,Local vélo,WiFi non;Garage,Parking,Plain pied,Terrain clos Accueil Vélo,La Vélodyssée Location de draps,Fourniture de draps (gratuit),Location de linge,Fourniture de linge (gratuit),Location/prêt de vélo,Option nettoyage / ménage,Prestation de restauration
GÎTE DE LA VALLÉE;;425 La Vallée;44440;TEILLE;44202;47.4710219;-1.2690711;47.4710219, -1.2690711;;06 13 90 13 04;https://www.gitedelavallee44.fr/;  ; Gîtes de France 
MAISON FAMILIALE ET RURALE AIGREFEUILLE SUR MAINE;Centre d'accueil et/ou de vacances,Maison familiale;54 Avenue de Nantes;44140;AIGREFEUILLE-SUR-MAINE;44002;47.0787585;-1.4051232;47.0787585, -1.4051232;;;https://mfr-aigrefeuille.com/;  ;  
DOMAINE DE LA PINELAIS;;La Pinelais;44320;SAINT-PERE-EN-RETZ;44187;47.25414;-2.05291;47.25414, -2.05291;;06 13 83 88 50;http://www.domaine-pinelais.com/;  ;  
Gîte d'étape au Soleil de Jade;Gîte de groupe,Gîte d'étapes;La Pointe St-Gildas;44770;PREFAILLES;44136;47.13469;-2.24193;47.13469, -2.24193;;;http://www.soleildejade.com; WiFi non;Cuisine professionnelle,Parking Accueil Vélo,Group'A Vélo,La Vélodyssée 
Halte nautique Saint Clair;Gîte d'étapes;St-Clair;44530;GUENROUET;44068;47.52271;-1.94891;47.52271, -1.94891;;;https://www.guenrouet.fr;  ;  
MAISON DU CANAL - GÎTES DE GROUPE PONT MINY;Gîte d'étapes;;44460;FEGREAC;44057;47.5717473;-2.0460956;47.5717473, -2.0460956;;06 85 57 51 97;; WiFi oui;  
BOUDAFAY;Gîte de groupe;1, Boudafay;44290;GUEMENE-PENFAO;44067;47.7012282;-1.866299;47.7012282, -1.866299;;06 08 63 48 61;;  oui;Parking  Option nettoyage / ménage
HEBERGEMENT GROUPES LYCEE CHARLES PEGUY;Gîte de groupe;3 rue de la Sèvre;44190;GORGES;44064;47.1039432;-1.302354;47.1039432, -1.302354;;;http://www.charles-peguy.net;Non classé Défibrillateur,WiFi non;Parking,Salle de réception,Terrain clos  Fourniture de draps (gratuit),Option nettoyage / ménage,Prestation de restauration
GITE DE GROUPE DURAND;Gîte de groupe;3 l'Epinay;44140;LE BIGNON;44014;47.10975;-1.52314;47.10975, -1.52314;;06 21 30 36 89;http://www.lacourdelepinay.fr;Non classé WiFi oui;Parking,Salle de réception,Terrain clos  
Gîte les Bas Bretins;Gîte d'étapes;1 les Bas Bretins;44160;SAINTE-REINE-DE-BRETAGNE;44189;47.46173;-2.16859;47.46173, -2.16859;;07 83 05 88 67;http://www.grandgiteatlantiquebretagne.com;4 étoiles WiFi oui;  Location de draps,Location de linge
DOMAINE DU PETIT MARAIS;;30 rue des Fontenelles;44320;CHAUMES-EN-RETZ;44005;47.13279;-1.96337;47.13279, -1.96337;;;http://www.domainedupetitmarais.com;  oui;Cuisine professionnelle,Parking,Salle de réception  
GÎTE CHÂTEAU DE LA PINAIS;Gîte de groupe;6 La Pinais;44520;MOISDON-LA-RIVIERE;44099;47.619048;-1.336415;47.619048, -1.336415;;06 18 26 86 60;www.chateaudelapinais.fr; WiFi ;Parking  
LE MOULIN DU TAIL;Gîte de groupe;9 Le Tail;44190;GETIGNE;44063;47.0966347;-1.2292741;47.0966347, -1.2292741;;06 12 53 41 46;; WiFi ;  Location de draps,Location de linge,Option nettoyage / ménage
Maison Rivage;Centre d'accueil et/ou de vacances;Kerguennec;44350;SAINT-MOLF;44183;47.36379;-2.4158;47.36379, -2.4158;;06 60 58 12 51;http://www.handirivage.fr;Non classé WiFi non;Parking UNAT 
Domaine de la Brissais;Gîte d'étapes;La Brissais;44530;SAINT-GILDAS-DES-BOIS;44161;47.4936;-2.04734;47.4936, -2.04734;;06 82 79 15 19;http://www.gite-la-brissais.fr;Non classé  non;Parking  Fourniture de draps (gratuit)
GÎTE DE GROUPE AU PARADIS DES QUATRE SAISONS;Gîte de groupe;La tournerie;44810;HERIC;44073;47.3989983;-1.5784546;47.3989983, -1.5784546;;06 34 43 45 58;https://www.auparadisdes4saisons.fr/;2 étoiles Piscine couverte,WiFi oui;Parking  Fourniture de draps (gratuit),Location/prêt de vélo,Option nettoyage / ménage
GITE DE GRAND LIEU;Gîte de groupe,Gîte d'étapes;1 Le Bas Fief;44310;SAINT-LUMINE-DE-COUTAIS;44174;47.05972;-1.71093;47.05972, -1.71093;;;www.gite-de-grand-lieu.com;3 étoiles WiFi non;Parking,Terrain clos Accueil Paysan Location de draps,Location de linge,Option nettoyage / ménage,Prestation de restauration
GITE DOMAINE DES ECURIES PUJOL;Gîte de groupe,Gîte d'étapes;115, Glasnet;44810;HERIC;44073;47.4520255;-1.6289934;47.4520255, -1.6289934;;;; WiFi oui;Parking,Plain pied,Salle de réception,Terrain clos  Location de draps,Option nettoyage / ménage
